timestamp,ppg,label,stage,hand
1582540975810,2843043,0,0,0
1582540975910,2843540,0,0,0
1582540976010,2844565,0,0,0
1582540976110,2845469,0,0,0
1582540976210,2845878,0,0,0
1582540976310,2844901,0,0,0
1582540976410,2844437,0,0,0
1582540976510,2844332,0,0,0
1582540976610,2844381,0,0,0
1582540976711,2844871,0,0,0
1582540976811,2845785,0,0,0
1582540976911,2846535,0,0,0
1582540977011,2847274,0,0,0
1582540977111,2846681,0,0,0
1582540977211,2845948,0,0,0
1582540977311,2845906,0,0,0
1582540977411,2845926,0,0,0
1582540977511,2846315,0,0,0
1582540977611,2846916,0,0,0
1582540977711,2847807,0,0,0
1582540977811,2848592,0,0,0
1582540977911,2847761,0,0,0
1582540978011,2846904,0,0,0
1582540978111,2846777,0,0,0
1582540978211,2846660,0,0,0
1582540978311,2846904,0,0,0
1582540978411,2847522,0,0,0
1582540978512,2848370,0,0,0
1582540978612,2849000,0,0,0
1582540978712,2847983,0,0,0
1582540978812,2846819,0,0,0
1582540978912,2846525,0,0,0
1582540979013,2846350,0,0,0
1582540979112,2846318,0,0,0
1582540979202,2846776,0,0,0
1582540979302,2847526,0,0,0
1582540979402,2848263,0,0,0
1582540979502,2847667,0,0,0
1582540979602,2846079,0,0,0
1582540979702,2845547,0,0,0
1582540979802,2845153,0,0,0
1582540979902,2845198,0,0,0
1582540980002,2845494,0,0,0
1582540980103,2846106,0,0,0
1582540980202,2846881,0,0,0
1582540980303,2846022,0,0,0
1582540980402,2844865,0,0,0
1582540980503,2844648,0,0,0
1582540980603,2844478,0,0,0
1582540980703,2844519,0,0,0
1582540980813,2844913,0,0,0
1582540980913,2845533,0,0,0
1582540981013,2846186,0,0,0
1582540981113,2844664,0,0,0
1582540981214,2843514,0,0,0
1582540981313,2843088,0,0,0
1582540981414,2842800,0,0,0
1582540981514,2842740,0,0,0
1582540981614,2843379,0,0,0
1582540981714,2844008,0,0,0
1582540981814,2844010,0,0,0
1582540981914,2842383,0,0,0
1582540982014,2841186,0,0,0
1582540982114,2840706,0,0,0
1582540982214,2840381,0,0,0
1582540982314,2840534,0,0,0
1582540982416,2841192,0,0,0
1582540982514,2842065,0,0,0
1582540982614,2842447,0,0,0
1582540982714,2842051,0,0,0
1582540982815,2841946,0,0,0
1582540982915,2842226,0,0,0
1582540983015,2842517,0,0,0
1582540983105,2842706,0,0,0
1582540983205,2843039,0,0,0
1582540983306,2843227,0,0,0
1582540983406,2843733,0,0,0
1582540983506,2842080,0,0,0
1582540983606,2840920,0,0,0
1582540983706,2840666,0,0,0
1582540983806,2840486,0,0,0
1582540983906,2840704,0,0,0
1582540984006,2840956,0,0,0
1582540984106,2841333,0,0,0
1582540984207,2841783,0,0,0
1582540984307,2841053,0,0,0
1582540984407,2840498,0,0,0
1582540984507,2840801,0,0,0
1582540984607,2840948,0,0,0
1582540984707,2841432,0,0,0
1582540984807,2842510,0,0,0
1582540984907,2843566,0,0,0
1582540985008,2843981,0,0,0
1582540985108,2842775,0,0,0
1582540985207,2842370,0,0,0
1582540985308,2842500,0,0,0
1582540985408,2842837,0,0,0
1582540985508,2843240,0,0,0
1582540985608,2844076,0,0,0
1582540985718,2845026,0,0,0
1582540985808,2844853,0,0,0
1582540985908,2843752,0,0,0
1582540986008,2843497,0,0,0
1582540986108,2843571,0,0,0
1582540986208,2843604,0,0,0
1582540986308,2844394,0,0,0
1582540986408,2845272,0,0,0
1582540986508,2846461,0,0,0
1582540986609,2846190,0,0,0
1582540986708,2844996,0,0,0
1582540986808,2844892,0,0,0
1582540986909,2845113,0,0,0
1582540987008,2845380,0,0,0
1582540987109,2846015,0,0,0
1582540987209,2846987,0,0,0
1582540987308,2847960,0,0,0
1582540987418,2847284,0,0,0
1582540987518,2846640,0,0,0
1582540987618,2846598,0,0,0
1582540987717,2846685,0,0,0
1582540987818,2846955,0,0,0
1582540987918,2847649,0,0,0
1582540988018,2848535,0,0,0
1582540988118,2848802,0,0,0
1582540988218,2847590,0,0,0
1582540988318,2847022,0,0,0
1582540988419,2846839,0,0,0
1582540988518,2846987,0,0,0
1582540988618,2847377,0,0,0
1582540988719,2848341,0,0,0
1582540988809,2849065,0,0,0
1582540988908,2848096,0,0,0
1582540989008,2846705,0,0,0
1582540989109,2846520,0,0,0
1582540989208,2846636,0,0,0
1582540989309,2846722,0,0,0
1582540989409,2847477,0,0,0
1582540989509,2848413,0,0,0
1582540989609,2848704,0,0,0
1582540989709,2847425,0,0,0
